"Notes"	"State"	"State Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Arizona"	"04"	"29 years"	"29"	"Male"	"M"	"White"	"2106-3"	"2001"	"2001"	11	34261	Unreliable
	"Arizona"	"04"	"34 years"	"34"	"Male"	"M"	"White"	"2106-3"	"2003"	"2003"	13	34095	Unreliable
	"Arizona"	"04"	"37 years"	"37"	"Male"	"M"	"White"	"2106-3"	"2001"	"2001"	11	35335	Unreliable
	"Arizona"	"04"	"37 years"	"37"	"Male"	"M"	"White"	"2106-3"	"2002"	"2002"	12	35558	Unreliable
	"Arizona"	"04"	"38 years"	"38"	"Male"	"M"	"White"	"2106-3"	"1999"	"1999"	12	35165	Unreliable
	"Arizona"	"04"	"38 years"	"38"	"Male"	"M"	"White"	"2106-3"	"2004"	"2004"	13	33091	Unreliable
	"Arizona"	"04"	"39 years"	"39"	"Male"	"M"	"White"	"2106-3"	"2000"	"2000"	13	34977	Unreliable
	"Arizona"	"04"	"39 years"	"39"	"Male"	"M"	"White"	"2106-3"	"2001"	"2001"	11	35812	Unreliable
	"Arizona"	"04"	"40 years"	"40"	"Male"	"M"	"White"	"2106-3"	"1999"	"1999"	19	35704	Unreliable
	"Arizona"	"04"	"40 years"	"40"	"Male"	"M"	"White"	"2106-3"	"2000"	"2000"	10	36599	Unreliable
	"Arizona"	"04"	"41 years"	"41"	"Male"	"M"	"White"	"2106-3"	"1999"	"1999"	13	33142	Unreliable
	"Arizona"	"04"	"41 years"	"41"	"Male"	"M"	"White"	"2106-3"	"2000"	"2000"	10	33376	Unreliable
	"Arizona"	"04"	"41 years"	"41"	"Male"	"M"	"White"	"2106-3"	"2001"	"2001"	11	36530	Unreliable
	"Arizona"	"04"	"42 years"	"42"	"Male"	"M"	"White"	"2106-3"	"1999"	"1999"	10	33643	Unreliable
	"Arizona"	"04"	"42 years"	"42"	"Male"	"M"	"White"	"2106-3"	"2002"	"2002"	16	36805	Unreliable
	"Arizona"	"04"	"43 years"	"43"	"Male"	"M"	"White"	"2106-3"	"2001"	"2001"	15	34244	Unreliable
	"Arizona"	"04"	"43 years"	"43"	"Male"	"M"	"White"	"2106-3"	"2004"	"2004"	12	35503	Unreliable
