"Notes"	"State"	"State Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"White"	"2106-3"	"2016"	"2016"	14	206805	Unreliable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"White"	"2106-3"	"2019"	"2019"	11	204318	Unreliable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Male"	"M"	"Black or African American"	"2054-5"	"2020 "	"2020"	12	97702	Unreliable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Male"	"M"	"White"	"2106-3"	"2002"	"2002"	13	217499	Unreliable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Male"	"M"	"White"	"2106-3"	"2004"	"2004"	17	219849	Unreliable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Male"	"M"	"White"	"2106-3"	"2005"	"2005"	14	221256	Unreliable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	19	222818	Unreliable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Male"	"M"	"White"	"2106-3"	"2007"	"2007"	29	224273	12.9
	"Alabama"	"01"	"15-24 years"	"15-24"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	16	225868	Unreliable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	19	227585	Unreliable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Male"	"M"	"White"	"2106-3"	"2010"	"2010"	12	227918	Unreliable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	15	227453	Unreliable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Male"	"M"	"White"	"2106-3"	"2012"	"2012"	12	225836	Unreliable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	13	225800	Unreliable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	16	222839	Unreliable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	12	219221	Unreliable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	18	216152	Unreliable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Male"	"M"	"White"	"2106-3"	"2017"	"2017"	26	215410	12.1
	"Alabama"	"01"	"15-24 years"	"15-24"	"Male"	"M"	"White"	"2106-3"	"2018"	"2018"	18	213658	Unreliable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Male"	"M"	"White"	"2106-3"	"2019"	"2019"	15	212467	Unreliable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Male"	"M"	"White"	"2106-3"	"2020 "	"2020"	29	212564	13.6
	"Alabama"	"01"	"25-34 years"	"25-34"	"Female"	"F"	"Black or African American"	"2054-5"	"2017"	"2017"	10	102857	Unreliable
	"Alabama"	"01"	"25-34 years"	"25-34"	"Female"	"F"	"Black or African American"	"2054-5"	"2020 "	"2020"	13	105257	Unreliable
	"Alabama"	"01"	"25-34 years"	"25-34"	"Female"	"F"	"White"	"2106-3"	"2006"	"2006"	12	201787	Unreliable
	"Alabama"	"01"	"25-34 years"	"25-34"	"Female"	"F"	"White"	"2106-3"	"2007"	"2007"	14	201731	Unreliable
	"Alabama"	"01"	"25-34 years"	"25-34"	"Female"	"F"	"White"	"2106-3"	"2008"	"2008"	16	202361	Unreliable
	"Alabama"	"01"	"25-34 years"	"25-34"	"Female"	"F"	"White"	"2106-3"	"2009"	"2009"	19	203918	Unreliable
	"Alabama"	"01"	"25-34 years"	"25-34"	"Female"	"F"	"White"	"2106-3"	"2010"	"2010"	17	204528	Unreliable
	"Alabama"	"01"	"25-34 years"	"25-34"	"Female"	"F"	"White"	"2106-3"	"2011"	"2011"	15	206377	Unreliable
	"Alabama"	"01"	"25-34 years"	"25-34"	"Female"	"F"	"White"	"2106-3"	"2012"	"2012"	13	206788	Unreliable
	"Alabama"	"01"	"25-34 years"	"25-34"	"Female"	"F"	"White"	"2106-3"	"2013"	"2013"	17	207617	Unreliable
	"Alabama"	"01"	"25-34 years"	"25-34"	"Female"	"F"	"White"	"2106-3"	"2014"	"2014"	23	209459	11.0
	"Alabama"	"01"	"25-34 years"	"25-34"	"Female"	"F"	"White"	"2106-3"	"2015"	"2015"	21	211621	9.9
	"Alabama"	"01"	"25-34 years"	"25-34"	"Female"	"F"	"White"	"2106-3"	"2016"	"2016"	18	212894	Unreliable
