"Notes"	"State"	"State Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"26 years"	"26"	"Male"	"M"	"White"	"2106-3"	"2017"	"2017"	12	23263	Unreliable
	"Alabama"	"01"	"27 years"	"27"	"Male"	"M"	"White"	"2106-3"	"2018"	"2018"	10	23012	Unreliable
	"Alabama"	"01"	"28 years"	"28"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	12	21171	Unreliable
	"Alabama"	"01"	"31 years"	"31"	"Female"	"F"	"White"	"2106-3"	"2020 "	"2020"	10	21652	Unreliable
	"Alabama"	"01"	"32 years"	"32"	"Male"	"M"	"White"	"2106-3"	"2019"	"2019"	14	20454	Unreliable
	"Alabama"	"01"	"32 years"	"32"	"Male"	"M"	"White"	"2106-3"	"2020 "	"2020"	10	20774	Unreliable
	"Alabama"	"01"	"34 years"	"34"	"Male"	"M"	"White"	"2106-3"	"2017"	"2017"	14	20536	Unreliable
	"Alabama"	"01"	"34 years"	"34"	"Male"	"M"	"White"	"2106-3"	"2018"	"2018"	12	20076	Unreliable
	"Alabama"	"01"	"34 years"	"34"	"Male"	"M"	"White"	"2106-3"	"2020 "	"2020"	13	20339	Unreliable
	"Alabama"	"01"	"35 years"	"35"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	13	21027	Unreliable
	"Alabama"	"01"	"36 years"	"36"	"Male"	"M"	"White"	"2106-3"	"2017"	"2017"	10	20762	Unreliable
	"Alabama"	"01"	"36 years"	"36"	"Male"	"M"	"White"	"2106-3"	"2020 "	"2020"	10	20103	Unreliable
	"Alabama"	"01"	"37 years"	"37"	"Male"	"M"	"White"	"2106-3"	"2020 "	"2020"	12	20416	Unreliable
	"Alabama"	"01"	"38 years"	"38"	"Male"	"M"	"White"	"2106-3"	"2020 "	"2020"	10	20744	Unreliable
	"Alabama"	"01"	"39 years"	"39"	"Male"	"M"	"White"	"2106-3"	"2020 "	"2020"	11	20763	Unreliable
	"Alabama"	"01"	"40 years"	"40"	"Male"	"M"	"White"	"2106-3"	"2018"	"2018"	10	19937	Unreliable
	"Alabama"	"01"	"40 years"	"40"	"Male"	"M"	"White"	"2106-3"	"2020 "	"2020"	15	21207	Unreliable
	"Alabama"	"01"	"42 years"	"42"	"Male"	"M"	"White"	"2106-3"	"2020 "	"2020"	15	19927	Unreliable
	"Alabama"	"01"	"45 years"	"45"	"Male"	"M"	"White"	"2106-3"	"2020 "	"2020"	11	20267	Unreliable
