"Notes"	"State"	"State Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Gender"	"Gender Code"	"Single Race 6"	"Single Race 6 Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"25 years"	"25"	"Male"	"M"	"White"	"2106-3"	"2021"	"2021"	12	20860	Unreliable
	"Alabama"	"01"	"26 years"	"26"	"Male"	"M"	"White"	"2106-3"	"2022 "	"2022"	10	21112	Unreliable
	"Alabama"	"01"	"27 years"	"27"	"Male"	"M"	"White"	"2106-3"	"2021"	"2021"	12	20983	Unreliable
	"Alabama"	"01"	"27 years"	"27"	"Male"	"M"	"White"	"2106-3"	"2022 "	"2022"	14	21001	Unreliable
	"Alabama"	"01"	"28 years"	"28"	"Female"	"F"	"White"	"2106-3"	"2022 "	"2022"	10	20531	Unreliable
	"Alabama"	"01"	"28 years"	"28"	"Male"	"M"	"White"	"2106-3"	"2021"	"2021"	12	21238	Unreliable
	"Alabama"	"01"	"28 years"	"28"	"Male"	"M"	"White"	"2106-3"	"2022 "	"2022"	11	21185	Unreliable
	"Alabama"	"01"	"29 years"	"29"	"Male"	"M"	"White"	"2106-3"	"2021"	"2021"	20	21677	92.3
	"Alabama"	"01"	"29 years"	"29"	"Male"	"M"	"White"	"2106-3"	"2022 "	"2022"	18	21421	Unreliable
	"Alabama"	"01"	"30 years"	"30"	"Male"	"M"	"White"	"2106-3"	"2021"	"2021"	11	22279	Unreliable
	"Alabama"	"01"	"30 years"	"30"	"Male"	"M"	"White"	"2106-3"	"2022 "	"2022"	22	21936	100.3
	"Alabama"	"01"	"31 years"	"31"	"Female"	"F"	"White"	"2106-3"	"2020"	"2020"	10	21424	Unreliable
	"Alabama"	"01"	"31 years"	"31"	"Female"	"F"	"White"	"2106-3"	"2022 "	"2022"	10	22693	Unreliable
	"Alabama"	"01"	"31 years"	"31"	"Male"	"M"	"White"	"2106-3"	"2021"	"2021"	12	22595	Unreliable
	"Alabama"	"01"	"31 years"	"31"	"Male"	"M"	"White"	"2106-3"	"2022 "	"2022"	10	22421	Unreliable
	"Alabama"	"01"	"32 years"	"32"	"Male"	"M"	"White"	"2106-3"	"2020"	"2020"	10	20529	Unreliable
	"Alabama"	"01"	"32 years"	"32"	"Male"	"M"	"White"	"2106-3"	"2021"	"2021"	11	21789	Unreliable
	"Alabama"	"01"	"32 years"	"32"	"Male"	"M"	"White"	"2106-3"	"2022 "	"2022"	24	22714	105.7
	"Alabama"	"01"	"33 years"	"33"	"Female"	"F"	"White"	"2106-3"	"2022 "	"2022"	11	22003	Unreliable
	"Alabama"	"01"	"33 years"	"33"	"Male"	"M"	"White"	"2106-3"	"2021"	"2021"	20	21099	94.8
	"Alabama"	"01"	"33 years"	"33"	"Male"	"M"	"White"	"2106-3"	"2022 "	"2022"	17	21988	Unreliable
	"Alabama"	"01"	"34 years"	"34"	"Female"	"F"	"White"	"2106-3"	"2022 "	"2022"	12	21342	Unreliable
	"Alabama"	"01"	"34 years"	"34"	"Male"	"M"	"White"	"2106-3"	"2020"	"2020"	13	20128	Unreliable
	"Alabama"	"01"	"34 years"	"34"	"Male"	"M"	"White"	"2106-3"	"2021"	"2021"	16	20993	Unreliable
	"Alabama"	"01"	"34 years"	"34"	"Male"	"M"	"White"	"2106-3"	"2022 "	"2022"	17	21351	Unreliable
	"Alabama"	"01"	"35 years"	"35"	"Male"	"M"	"White"	"2106-3"	"2021"	"2021"	16	20963	Unreliable
	"Alabama"	"01"	"35 years"	"35"	"Male"	"M"	"White"	"2106-3"	"2022 "	"2022"	15	21140	Unreliable
	"Alabama"	"01"	"36 years"	"36"	"Male"	"M"	"Black or African American"	"2054-5"	"2022 "	"2022"	10	8068	Unreliable
	"Alabama"	"01"	"36 years"	"36"	"Male"	"M"	"White"	"2106-3"	"2020"	"2020"	10	19899	Unreliable
	"Alabama"	"01"	"36 years"	"36"	"Male"	"M"	"White"	"2106-3"	"2022 "	"2022"	19	21102	Unreliable
	"Alabama"	"01"	"37 years"	"37"	"Female"	"F"	"White"	"2106-3"	"2022 "	"2022"	10	21039	Unreliable
	"Alabama"	"01"	"37 years"	"37"	"Male"	"M"	"White"	"2106-3"	"2020"	"2020"	12	20198	Unreliable
	"Alabama"	"01"	"37 years"	"37"	"Male"	"M"	"White"	"2106-3"	"2021"	"2021"	25	20710	120.7
	"Alabama"	"01"	"37 years"	"37"	"Male"	"M"	"White"	"2106-3"	"2022 "	"2022"	16	21254	Unreliable
	"Alabama"	"01"	"38 years"	"38"	"Female"	"F"	"White"	"2106-3"	"2021"	"2021"	11	21258	Unreliable
	"Alabama"	"01"	"38 years"	"38"	"Female"	"F"	"White"	"2106-3"	"2022 "	"2022"	14	20773	Unreliable
	"Alabama"	"01"	"38 years"	"38"	"Male"	"M"	"White"	"2106-3"	"2020"	"2020"	10	20508	Unreliable
	"Alabama"	"01"	"38 years"	"38"	"Male"	"M"	"White"	"2106-3"	"2021"	"2021"	13	21212	Unreliable
	"Alabama"	"01"	"38 years"	"38"	"Male"	"M"	"White"	"2106-3"	"2022 "	"2022"	10	20784	Unreliable
	"Alabama"	"01"	"39 years"	"39"	"Male"	"M"	"Black or African American"	"2054-5"	"2022 "	"2022"	12	7843	Unreliable
	"Alabama"	"01"	"39 years"	"39"	"Male"	"M"	"White"	"2106-3"	"2020"	"2020"	11	20535	Unreliable
	"Alabama"	"01"	"39 years"	"39"	"Male"	"M"	"White"	"2106-3"	"2021"	"2021"	22	21489	102.4
	"Alabama"	"01"	"39 years"	"39"	"Male"	"M"	"White"	"2106-3"	"2022 "	"2022"	15	21247	Unreliable
	"Alabama"	"01"	"40 years"	"40"	"Male"	"M"	"White"	"2106-3"	"2020"	"2020"	15	20982	Unreliable
	"Alabama"	"01"	"40 years"	"40"	"Male"	"M"	"White"	"2106-3"	"2021"	"2021"	20	21550	92.8
	"Alabama"	"01"	"40 years"	"40"	"Male"	"M"	"White"	"2106-3"	"2022 "	"2022"	18	21596	Unreliable
	"Alabama"	"01"	"41 years"	"41"	"Female"	"F"	"White"	"2106-3"	"2021"	"2021"	10	21172	Unreliable
	"Alabama"	"01"	"41 years"	"41"	"Male"	"M"	"White"	"2106-3"	"2021"	"2021"	22	21497	102.3
	"Alabama"	"01"	"41 years"	"41"	"Male"	"M"	"White"	"2106-3"	"2022 "	"2022"	17	21640	Unreliable
	"Alabama"	"01"	"42 years"	"42"	"Female"	"F"	"White"	"2106-3"	"2022 "	"2022"	13	21046	Unreliable
	"Alabama"	"01"	"42 years"	"42"	"Male"	"M"	"Black or African American"	"2054-5"	"2022 "	"2022"	10	8200	Unreliable
	"Alabama"	"01"	"42 years"	"42"	"Male"	"M"	"White"	"2106-3"	"2020"	"2020"	15	19748	Unreliable
