"Dataset","State","Year","Quarter","Setting","Drug","Characteristic","Level","Rate","Count"
"AHRQ","Alaska",2016,"Q1","ED Treat-and-Release","All Opioids","Total","All ED Visits",NA,NA
"AHRQ","Alaska",2016,"Q2","ED Treat-and-Release","All Opioids","Total","All ED Visits",NA,NA
"AHRQ","Alaska",2016,"Q3","ED Treat-and-Release","All Opioids","Total","All ED Visits",NA,NA
"AHRQ","Alaska",2016,"Q4","ED Treat-and-Release","All Opioids","Total","All ED Visits",NA,NA
"AHRQ","Alaska",2017,"Q1","ED Treat-and-Release","All Opioids","Total","All ED Visits",NA,NA
"AHRQ","Alaska",2017,"Q2","ED Treat-and-Release","All Opioids","Total","All ED Visits",NA,NA
"AHRQ","Alaska",2017,"Q3","ED Treat-and-Release","All Opioids","Total","All ED Visits",NA,NA
"AHRQ","Alaska",2017,"Q4","ED Treat-and-Release","All Opioids","Total","All ED Visits",NA,NA
"AHRQ","Alaska",2018,"Q1","ED Treat-and-Release","All Opioids","Total","All ED Visits",NA,NA
"AHRQ","Alaska",2018,"Q2","ED Treat-and-Release","All Opioids","Total","All ED Visits",NA,NA
"AHRQ","Alaska",2018,"Q3","ED Treat-and-Release","All Opioids","Total","All ED Visits",NA,NA
"AHRQ","Alaska",2018,"Q4","ED Treat-and-Release","All Opioids","Total","All ED Visits",NA,NA
"AHRQ","Alaska",2019,"Q1","ED Treat-and-Release","All Opioids","Total","All ED Visits",309.99635318238,550
"AHRQ","Alaska",2019,"Q2","ED Treat-and-Release","All Opioids","Total","All ED Visits",297.16229247476,550
"AHRQ","Alaska",2019,"Q3","ED Treat-and-Release","All Opioids","Total","All ED Visits",304.57323347205,550
"AHRQ","Alaska",2019,"Q4","ED Treat-and-Release","All Opioids","Total","All ED Visits",315.927127566287,600
"AHRQ","Alaska",2020,"Q1","ED Treat-and-Release","All Opioids","Total","All ED Visits",313.823204224439,600
"AHRQ","Alaska",2020,"Q2","ED Treat-and-Release","All Opioids","Total","All ED Visits",265.950632673073,500
"AHRQ","Alaska",2020,"Q3","ED Treat-and-Release","All Opioids","Total","All ED Visits",322.179071633469,600
"AHRQ","Alaska",2020,"Q4","ED Treat-and-Release","All Opioids","Total","All ED Visits",264.919449946956,500
"AHRQ","Alaska",2021,"Q1","ED Treat-and-Release","All Opioids","Total","All ED Visits",340.548277242491,600
"AHRQ","Alaska",2021,"Q2","ED Treat-and-Release","All Opioids","Total","All ED Visits",389.354713111383,700
"AHRQ","Alaska",2021,"Q3","ED Treat-and-Release","All Opioids","Total","All ED Visits",341.096664162366,600
"AHRQ","Alaska",2021,"Q4","ED Treat-and-Release","All Opioids","Total","All ED Visits",370.709557835626,700
"AHRQ","Alaska",2022,"Q1","ED Treat-and-Release","All Opioids","Total","All ED Visits",303.557949866614,550
"AHRQ","Alaska",2022,"Q2","ED Treat-and-Release","All Opioids","Total","All ED Visits",329.172354972056,600
"AHRQ","Alaska",2022,"Q3","ED Treat-and-Release","All Opioids","Total","All ED Visits",329.717342314725,600
"AHRQ","Alaska",2022,"Q4","ED Treat-and-Release","All Opioids","Total","All ED Visits",295.928127069249,550
"AHRQ","Alaska",2016,"Q1","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"AHRQ","Alaska",2016,"Q2","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"AHRQ","Alaska",2016,"Q3","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"AHRQ","Alaska",2016,"Q4","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"AHRQ","Alaska",2017,"Q1","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"AHRQ","Alaska",2017,"Q2","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"AHRQ","Alaska",2017,"Q3","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"AHRQ","Alaska",2017,"Q4","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"AHRQ","Alaska",2018,"Q1","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"AHRQ","Alaska",2018,"Q2","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"AHRQ","Alaska",2018,"Q3","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"AHRQ","Alaska",2018,"Q4","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"AHRQ","Alaska",2019,"Q1","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"AHRQ","Alaska",2019,"Q2","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"AHRQ","Alaska",2019,"Q3","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"AHRQ","Alaska",2019,"Q4","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"AHRQ","Alaska",2020,"Q1","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"AHRQ","Alaska",2020,"Q2","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"AHRQ","Alaska",2020,"Q3","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"AHRQ","Alaska",2020,"Q4","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"AHRQ","Alaska",2021,"Q1","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"AHRQ","Alaska",2021,"Q2","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"AHRQ","Alaska",2021,"Q3","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"AHRQ","Alaska",2021,"Q4","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"AHRQ","Alaska",2022,"Q1","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"AHRQ","Alaska",2022,"Q2","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"AHRQ","Alaska",2022,"Q3","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"AHRQ","Alaska",2022,"Q4","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"AHRQ","Alaska",2016,"Q1","ED Treat-and-Release","All Opioids","Age","1-24 Years",NA,NA
"AHRQ","Alaska",2016,"Q2","ED Treat-and-Release","All Opioids","Age","1-24 Years",NA,NA
"AHRQ","Alaska",2016,"Q3","ED Treat-and-Release","All Opioids","Age","1-24 Years",NA,NA
"AHRQ","Alaska",2016,"Q4","ED Treat-and-Release","All Opioids","Age","1-24 Years",NA,NA
"AHRQ","Alaska",2017,"Q1","ED Treat-and-Release","All Opioids","Age","1-24 Years",NA,NA
"AHRQ","Alaska",2017,"Q2","ED Treat-and-Release","All Opioids","Age","1-24 Years",NA,NA
"AHRQ","Alaska",2017,"Q3","ED Treat-and-Release","All Opioids","Age","1-24 Years",NA,NA
"AHRQ","Alaska",2017,"Q4","ED Treat-and-Release","All Opioids","Age","1-24 Years",NA,NA
"AHRQ","Alaska",2018,"Q1","ED Treat-and-Release","All Opioids","Age","1-24 Years",NA,NA
"AHRQ","Alaska",2018,"Q2","ED Treat-and-Release","All Opioids","Age","1-24 Years",NA,NA
"AHRQ","Alaska",2018,"Q3","ED Treat-and-Release","All Opioids","Age","1-24 Years",NA,NA
"AHRQ","Alaska",2018,"Q4","ED Treat-and-Release","All Opioids","Age","1-24 Years",NA,NA
"AHRQ","Alaska",2019,"Q1","ED Treat-and-Release","All Opioids","Age","1-24 Years",124.554235315964,100
"AHRQ","Alaska",2019,"Q2","ED Treat-and-Release","All Opioids","Age","1-24 Years",87.566336791459,50
"AHRQ","Alaska",2019,"Q3","ED Treat-and-Release","All Opioids","Age","1-24 Years",77.1921360511398,50
"AHRQ","Alaska",2019,"Q4","ED Treat-and-Release","All Opioids","Age","1-24 Years",102.039862301048,50
"AHRQ","Alaska",2020,"Q1","ED Treat-and-Release","All Opioids","Age","1-24 Years",88.5863101341098,50
"AHRQ","Alaska",2020,"Q2","ED Treat-and-Release","All Opioids","Age","1-24 Years",86.0450926881008,50
"AHRQ","Alaska",2020,"Q3","ED Treat-and-Release","All Opioids","Age","1-24 Years",116.474592954107,50
"AHRQ","Alaska",2020,"Q4","ED Treat-and-Release","All Opioids","Age","1-24 Years",68.900463437641,50
"AHRQ","Alaska",2021,"Q1","ED Treat-and-Release","All Opioids","Age","1-24 Years",125.236906481427,100
"AHRQ","Alaska",2021,"Q2","ED Treat-and-Release","All Opioids","Age","1-24 Years",120.22743022217,50
"AHRQ","Alaska",2021,"Q3","ED Treat-and-Release","All Opioids","Age","1-24 Years",135.255858999942,100
"AHRQ","Alaska",2021,"Q4","ED Treat-and-Release","All Opioids","Age","1-24 Years",131.916208160437,100
"AHRQ","Alaska",2022,"Q1","ED Treat-and-Release","All Opioids","Age","1-24 Years",109.415636336091,50
"AHRQ","Alaska",2022,"Q2","ED Treat-and-Release","All Opioids","Age","1-24 Years",102.682366407716,50
"AHRQ","Alaska",2022,"Q3","ED Treat-and-Release","All Opioids","Age","1-24 Years",95.9490964793415,50
"AHRQ","Alaska",2022,"Q4","ED Treat-and-Release","All Opioids","Age","1-24 Years",75.749286694217,50
"AHRQ","Alaska",2016,"Q1","ED Treat-and-Release","All Opioids","Age","25-44 Years",NA,NA
"AHRQ","Alaska",2016,"Q2","ED Treat-and-Release","All Opioids","Age","25-44 Years",NA,NA
"AHRQ","Alaska",2016,"Q3","ED Treat-and-Release","All Opioids","Age","25-44 Years",NA,NA
"AHRQ","Alaska",2016,"Q4","ED Treat-and-Release","All Opioids","Age","25-44 Years",NA,NA
"AHRQ","Alaska",2017,"Q1","ED Treat-and-Release","All Opioids","Age","25-44 Years",NA,NA
"AHRQ","Alaska",2017,"Q2","ED Treat-and-Release","All Opioids","Age","25-44 Years",NA,NA
"AHRQ","Alaska",2017,"Q3","ED Treat-and-Release","All Opioids","Age","25-44 Years",NA,NA
"AHRQ","Alaska",2017,"Q4","ED Treat-and-Release","All Opioids","Age","25-44 Years",NA,NA
"AHRQ","Alaska",2018,"Q1","ED Treat-and-Release","All Opioids","Age","25-44 Years",NA,NA
"AHRQ","Alaska",2018,"Q2","ED Treat-and-Release","All Opioids","Age","25-44 Years",NA,NA
"AHRQ","Alaska",2018,"Q3","ED Treat-and-Release","All Opioids","Age","25-44 Years",NA,NA
"AHRQ","Alaska",2018,"Q4","ED Treat-and-Release","All Opioids","Age","25-44 Years",NA,NA
"AHRQ","Alaska",2019,"Q1","ED Treat-and-Release","All Opioids","Age","25-44 Years",619.741021911377,350
"AHRQ","Alaska",2019,"Q2","ED Treat-and-Release","All Opioids","Age","25-44 Years",665.513505923719,350
"AHRQ","Alaska",2019,"Q3","ED Treat-and-Release","All Opioids","Age","25-44 Years",627.011723686862,350
"AHRQ","Alaska",2019,"Q4","ED Treat-and-Release","All Opioids","Age","25-44 Years",618.03492915912,350
"AHRQ","Alaska",2020,"Q1","ED Treat-and-Release","All Opioids","Age","25-44 Years",677.837708831777,350
"AHRQ","Alaska",2020,"Q2","ED Treat-and-Release","All Opioids","Age","25-44 Years",583.50518498899,300
"AHRQ","Alaska",2020,"Q3","ED Treat-and-Release","All Opioids","Age","25-44 Years",661.06781014676,350
"AHRQ","Alaska",2020,"Q4","ED Treat-and-Release","All Opioids","Age","25-44 Years",547.66137501687,300
"AHRQ","Alaska",2021,"Q1","ED Treat-and-Release","All Opioids","Age","25-44 Years",712.90657953364,350
"AHRQ","Alaska",2021,"Q2","ED Treat-and-Release","All Opioids","Age","25-44 Years",843.222836007532,450
"AHRQ","Alaska",2021,"Q3","ED Treat-and-Release","All Opioids","Age","25-44 Years",709.073748460879,350
"AHRQ","Alaska",2021,"Q4","ED Treat-and-Release","All Opioids","Age","25-44 Years",806.810940816297,400
"AHRQ","Alaska",2022,"Q1","ED Treat-and-Release","All Opioids","Age","25-44 Years",633.04034684546,350
"AHRQ","Alaska",2022,"Q2","ED Treat-and-Release","All Opioids","Age","25-44 Years",722.12087469497,400
"AHRQ","Alaska",2022,"Q3","ED Treat-and-Release","All Opioids","Age","25-44 Years",661.470302542112,350
"AHRQ","Alaska",2022,"Q4","ED Treat-and-Release","All Opioids","Age","25-44 Years",581.866426591485,300
"AHRQ","Alaska",2016,"Q1","ED Treat-and-Release","All Opioids","Age","45-64 Years",NA,NA
"AHRQ","Alaska",2016,"Q2","ED Treat-and-Release","All Opioids","Age","45-64 Years",NA,NA
"AHRQ","Alaska",2016,"Q3","ED Treat-and-Release","All Opioids","Age","45-64 Years",NA,NA
"AHRQ","Alaska",2016,"Q4","ED Treat-and-Release","All Opioids","Age","45-64 Years",NA,NA
"AHRQ","Alaska",2017,"Q1","ED Treat-and-Release","All Opioids","Age","45-64 Years",NA,NA
"AHRQ","Alaska",2017,"Q2","ED Treat-and-Release","All Opioids","Age","45-64 Years",NA,NA
"AHRQ","Alaska",2017,"Q3","ED Treat-and-Release","All Opioids","Age","45-64 Years",NA,NA
"AHRQ","Alaska",2017,"Q4","ED Treat-and-Release","All Opioids","Age","45-64 Years",NA,NA
