"State","Characteristic","Level","Base Population_2010","Postcensal Population_2010","Postcensal Population_2011","Postcensal Population_2012","Postcensal Population_2013","Postcensal Population_2014","Postcensal Population_2015","Postcensal Population_2016","Postcensal Population_2017","Postcensal Population_2018","Postcensal Population_2019","Postcensal Population_2020"
"US","Not Stratified","N/A",308758105,309327143,311583481,313877662,316059947,318386329,320738994,323071755,325122128,326838199,328329953,329484123
"Alabama","Not Stratified","N/A",4780118,4785514,4799642,4816632,4831586,4843737,4854803,4866824,4877989,4891628,4907965,4921532
"Alaska","Not Stratified","N/A",710246,713982,722349,730810,737626,737075,738430,742575,740983,736624,733603,731158
"Arizona","Not Stratified","N/A",6392292,6407342,6473416,6556344,6634690,6732873,6832810,6944767,7048088,7164228,7291843,7421401
"Arkansas","Not Stratified","N/A",2916029,2921998,2941038,2952876,2960459,2968759,2979732,2991815,3003855,3012161,3020985,3030522
"California","Not Stratified","N/A",37254522,37319550,37636311,37944551,38253768,38586706,38904296,39149186,39337785,39437463,39437610,39368078
"Colorado","Not Stratified","N/A",5029319,5047539,5121900,5193660,5270774,5352637,5454328,5543844,5617421,5697155,5758486,5807719
"Connecticut","Not Stratified","N/A",3574151,3579173,3588632,3595211,3595792,3595697,3588561,3579830,3575324,3574561,3566022,3557006
"Delaware","Not Stratified","N/A",897947,899647,907590,915518,924062,933131,942065,949989,957942,966985,976668,986809
"District of Columbia","Not Stratified","N/A",601767,605282,620290,635737,651559,663603,677014,687576,697079,704147,708253,712816
"Florida","Not Stratified","N/A",18804589,18846143,19055607,19302016,19551678,19853880,20219111,20627237,20977089,21254926,21492056,21733312
"Georgia","Not Stratified","N/A",9688737,9712209,9803630,9903580,9975592,10071204,10183353,10308442,10417031,10519389,10628020,10710017
"Hawaii","Not Stratified","N/A",1360304,1364004,1379562,1395199,1408822,1415335,1422999,1428885,1425763,1423102,1415615,1407006
"Idaho","Not Stratified","N/A",1567658,1570819,1584272,1595910,1612053,1632248,1652495,1684036,1719745,1752074,1789060,1826913
"Illinois","Not Stratified","N/A",12831572,12840545,12867783,12883029,12895778,12885092,12859585,12821709,12779893,12724685,12667017,12587530
"Indiana","Not Stratified","N/A",6484050,6490555,6517250,6538989,6570575,6596019,6611442,6637898,6662068,6698481,6731010,6754953
"Iowa","Not Stratified","N/A",3046877,3050819,3066772,3076844,3093935,3110643,3122541,3133210,3143734,3149900,3159596,3163561
"Kansas","Not Stratified","N/A",2853120,2858266,2869677,2886024,2894306,2901861,2910717,2912977,2910892,2912748,2912635,2913805
"Kentucky","Not Stratified","N/A",4339330,4348464,4370817,4387865,4406906,4416992,4429126,4440306,4455590,4464273,4472345,4477251
"Louisiana","Not Stratified","N/A",4533500,4544635,4576244,4602067,4626040,4645938,4666998,4681346,4673673,4664450,4658285,4645318
"Maine","Not Stratified","N/A",1328354,1327651,1328473,1328094,1328543,1331217,1329098,1332348,1335743,1340123,1345770,1350141
"Maryland","Not Stratified","N/A",5773787,5788784,5840241,5888375,5925197,5960064,5988528,6007014,6028186,6042153,6054954,6055802
"Massachusetts","Not Stratified","N/A",6547788,6566440,6614218,6664269,6715158,6764864,6797484,6827280,6863560,6885720,6894883,6893574
"Michigan","Not Stratified","N/A",9884112,9877597,9883053,9898289,9914802,9932033,9934483,9954117,9976752,9987286,9984795,9966555
"Minnesota","Not Stratified","N/A",5303933,5310934,5346620,5377500,5414722,5452665,5484002,5525360,5569283,5608762,5640053,5657342
"Mississippi","Not Stratified","N/A",2968129,2970615,2979147,2984599,2989839,2991892,2990231,2990595,2990674,2982879,2978227,2966786
"Missouri","Not Stratified","N/A",5988941,5996089,6011182,6026027,6042989,6059130,6075411,6091384,6111382,6125986,6140475,6151548
"Montana","Not Stratified","N/A",989400,990730,997518,1004168,1014158,1022657,1031495,1042137,1053862,1061818,1070123,1080577
"Nebraska","Not Stratified","N/A",1826311,1829591,1840914,1853691,1865813,1879955,1892059,1906483,1916998,1925512,1932571,1937552
"Nevada","Not Stratified","N/A",2700683,2702483,2713114,2744670,2776956,2818935,2868531,2919555,2972097,3030725,3090771,3138259
"New Hampshire","Not Stratified","N/A",1316457,1316807,1320444,1324677,1327272,1334257,1337480,1343694,1350395,1355064,1360783,1366275
"New Jersey","Not Stratified","N/A",8791959,8799451,8828552,8845671,8857821,8867277,8870312,8873584,8888147,8891730,8891258,8882371
"New Mexico","Not Stratified","N/A",2059199,2064614,2080707,2087715,2092833,2090236,2090071,2092555,2092844,2093754,2099634,2106319
"New York","Not Stratified","N/A",19378117,19399956,19499921,19574362,19626488,19653431,19657321,19636391,19593849,19544098,19463131,19336776
"North Carolina","Not Stratified","N/A",9535762,9574586,9658913,9751810,9846717,9937295,10037218,10161802,10275758,10391358,10501384,10600823
"North Dakota","Not Stratified","N/A",672575,674752,685526,702227,723149,738736,755537,756114,756755,760062,763724,765309
"Ohio","Not Stratified","N/A",11536763,11539449,11545735,11550971,11579692,11606573,11622315,11640060,11665706,11680892,11696507,11693217
"Oklahoma","Not Stratified","N/A",3751582,3760014,3788824,3819320,3853891,3879187,3910518,3928143,3933602,3943488,3960676,3980783
"Oregon","Not Stratified","N/A",3831083,3837614,3872672,3900102,3924110,3965447,4018542,4093271,4147294,4183538,4216116,4241507
"Pennsylvania","Not Stratified","N/A",12702891,12711406,12747052,12769123,12779538,12792392,12789838,12788468,12794679,12809107,12798883,12783254
"Rhode Island","Not Stratified","N/A",1052970,1053994,1053829,1054893,1055560,1056511,1056886,1057816,1056554,1059338,1058158,1057125
"South Carolina","Not Stratified","N/A",4625358,4635846,4672655,4719027,4766469,4826858,4896006,4963031,5027102,5091702,5157702,5218040
"South Dakota","Not Stratified","N/A",814198,816193,823740,833859,842751,849670,854663,863693,873732,879386,887127,892717
"Tennessee","Not Stratified","N/A",6346281,6355518,6400298,6455752,6496943,6544617,6595354,6651277,6714748,6778180,6830325,6886834
