"State","Characteristic","Level","Base Population_2010","Postcensal Population_2010","Postcensal Population_2011","Postcensal Population_2012","Postcensal Population_2013","Postcensal Population_2014","Postcensal Population_2015","Postcensal Population_2016","Postcensal Population_2017","Postcensal Population_2018","Postcensal Population_2019","Postcensal Population_2020"
"US","Not Stratified","N/A",276399801,276889801,278886021,280901904,282810723,284815379,286841015,288883017,290692877,292194506,293434049,294362007
"Alabama","Not Stratified","N/A",4295041,4299223,4310392,4323008,4333082,4341939,4349161,4357244,4365095,4374976,4386470,4394762
"Alaska","Not Stratified","N/A",121730,122535,122665,125126,125981,124090,124470,125442,124685,123477,121823,120210
"Arizona","Not Stratified","N/A",6371803,6386843,6452810,6535820,6614164,6712352,6812334,6924097,7027351,7143198,7270586,7399921
"Arkansas","Not Stratified","N/A",2452428,2456641,2471572,2480619,2485494,2490126,2496427,2506034,2515269,2521677,2528533,2536221
"California","Not Stratified","N/A",37108844,37173359,37489538,37797165,38105526,38437543,38754328,38997498,39183559,39281269,39279141,39206703
"Colorado","Not Stratified","N/A",4596642,4613594,4681283,4745950,4816751,4888724,4977013,5057835,5123777,5195554,5249494,5294297
"Connecticut","Not Stratified","N/A",3574151,3579173,3588632,3595211,3595792,3595697,3588561,3579830,3575324,3574561,3566022,3557006
"Delaware","Not Stratified","N/A",897947,899647,907590,915518,924062,933131,942065,949989,957942,966985,976668,986809
"District of Columbia","Not Stratified","N/A",601767,605282,620290,635737,651559,663603,677014,687576,697079,704147,708253,712816
"Florida","Not Stratified","N/A",17667604,17707802,17909022,18143576,18380611,18662912,19002468,19384477,19709948,19964148,20178757,20400054
"Georgia","Not Stratified","N/A",7455001,7475119,7558344,7654844,7718538,7795419,7891703,7993029,8077901,8155993,8237793,8298840
"Hawaii","Not Stratified","N/A",1360304,1364004,1379562,1395199,1408822,1415335,1422999,1428885,1425763,1423102,1415615,1407006
"Idaho","Not Stratified","N/A",1515145,1518270,1531712,1543425,1559353,1579560,1599632,1630904,1666229,1698504,1735354,1772940
"Illinois","Not Stratified","N/A",10317801,10324596,10343335,10355471,10364020,10356634,10335941,10302116,10265095,10217684,10170028,10103770
"Indiana","Not Stratified","N/A",6144057,6150426,6176621,6198817,6229346,6254914,6269733,6296242,6319325,6354420,6384864,6408346
"Iowa","Not Stratified","N/A",2855185,2859341,2876158,2887706,2905309,2923044,2935268,2947046,2958595,2965550,2975905,2980854
"Kansas","Not Stratified","N/A",2093428,2097669,2107232,2120008,2124696,2128734,2134837,2134376,2132570,2133739,2131485,2130809
"Kentucky","Not Stratified","N/A",3456854,3464029,3481566,3493603,3507086,3513235,3518973,3525275,3535791,3539466,3542313,3542940
"Louisiana","Not Stratified","N/A",4372128,4382946,4415040,4439476,4465305,4485210,4507753,4521926,4515673,4508117,4503202,4491742
"Maine","Not Stratified","N/A",1328354,1327651,1328473,1328094,1328543,1331217,1329098,1332348,1335743,1340123,1345770,1350141
"Maryland","Not Stratified","N/A",5005594,5020115,5070941,5116250,5153551,5187103,5216537,5240757,5267086,5288213,5309287,5318525
"Massachusetts","Not Stratified","N/A",6547788,6566440,6614218,6664269,6715158,6764864,6797484,6827280,6863560,6885720,6894883,6893574
"Michigan","Not Stratified","N/A",9368531,9362532,9369880,9386803,9406147,9425386,9430757,9451416,9474036,9484615,9482231,9464939
"Minnesota","Not Stratified","N/A",4934778,4941376,4975799,5006314,5042320,5077518,5105969,5145240,5185891,5221432,5249958,5265164
"Mississippi","Not Stratified","N/A",2813261,2816150,2825683,2830721,2835715,2837780,2836865,2837454,2837918,2830434,2826917,2816183
"Missouri","Not Stratified","N/A",5043141,5049245,5063757,5078512,5095941,5112892,5129893,5148445,5171479,5189771,5205159,5219518
"Montana","Not Stratified","N/A",977509,978835,985654,992344,1002196,1010663,1019444,1029872,1041432,1049217,1057415,1067717
"Nebraska","Not Stratified","N/A",1765673,1768854,1780634,1793639,1805933,1820412,1832598,1847210,1858065,1866509,1873614,1878631
"Nevada","Not Stratified","N/A",2645414,2647500,2658427,2690340,2723210,2764823,2814379,2865232,2917413,2975438,3034877,3082225
"New Hampshire","Not Stratified","N/A",1316457,1316807,1320444,1324677,1327272,1334257,1337480,1343694,1350395,1355064,1360783,1366275
"New Jersey","Not Stratified","N/A",8791959,8799451,8828552,8845671,8857821,8867277,8870312,8873584,8888147,8891730,8891258,8882371
"New Mexico","Not Stratified","N/A",1882408,1886863,1900631,1906631,1911093,1908174,1906591,1906670,1904313,1902532,1906525,1911599
"New York","Not Stratified","N/A",19048537,19070193,19170559,19245435,19298374,19326337,19331745,19311974,19269975,19220931,19140807,19015795
"North Carolina","Not Stratified","N/A",8847894,8876580,8960466,9045127,9134186,9219817,9314128,9433883,9538513,9646497,9744916,9836472
"North Dakota","Not Stratified","N/A",665781,667945,678716,695336,716289,731927,748817,749433,750180,753537,757246,758923
"Ohio","Not Stratified","N/A",10916440,10919058,10924531,10930242,10959396,10986972,11004169,11022936,11049263,11065911,11081688,11079919
"Oklahoma","Not Stratified","N/A",2985380,2991815,3015550,3039142,3064315,3082541,3103215,3114872,3118995,3126608,3139213,3153122
