Category: All categories

Week,covid-19: (United States),Influenza: (United States),rsv: (United States),bronchiolitis: (United States)
2020-02-16,1,30,1,<1
2020-02-23,4,49,1,<1
2020-03-01,9,56,1,<1
2020-03-08,32,100,1,<1
2020-03-15,68,85,1,<1
2020-03-22,75,66,1,<1
2020-03-29,74,56,1,<1
2020-04-05,57,40,<1,<1
2020-04-12,45,31,<1,<1
2020-04-19,39,29,<1,<1
2020-04-26,32,24,<1,<1
2020-05-03,33,20,<1,<1
2020-05-10,32,19,<1,<1
2020-05-17,27,16,<1,<1
2020-05-24,24,15,<1,<1
2020-05-31,21,6,<1,<1
2020-06-07,25,7,<1,<1
2020-06-14,31,8,<1,<1
2020-06-21,35,11,<1,<1
2020-06-28,34,15,<1,<1
2020-07-05,33,12,<1,<1
2020-07-12,35,14,<1,<1
2020-07-19,32,12,<1,<1
2020-07-26,27,12,<1,<1
2020-08-02,74,11,<1,<1
2020-08-09,22,12,<1,<1
2020-08-16,19,13,<1,<1
2020-08-23,17,12,<1,<1
2020-08-30,17,13,<1,<1
2020-09-06,16,16,<1,<1
2020-09-13,15,19,<1,<1
2020-09-20,15,22,<1,<1
2020-09-27,16,24,<1,<1
2020-10-04,14,28,<1,<1
2020-10-11,13,23,<1,<1
2020-10-18,14,21,<1,<1
2020-10-25,15,21,<1,<1
2020-11-01,12,13,<1,<1
2020-11-08,18,16,<1,<1
2020-11-15,22,19,<1,<1
2020-11-22,16,14,<1,<1
2020-11-29,16,15,<1,<1
2020-12-06,17,15,<1,<1
2020-12-13,17,14,<1,<1
2020-12-20,15,11,<1,<1
2020-12-27,16,12,<1,<1
2021-01-03,16,11,<1,<1
2021-01-10,17,10,<1,<1
2021-01-17,15,10,<1,<1
2021-01-24,14,9,<1,<1
2021-01-31,14,8,<1,<1
2021-02-07,13,7,<1,<1
2021-02-14,11,6,<1,<1
2021-02-21,12,9,<1,<1
2021-02-28,13,7,<1,<1
2021-03-07,13,6,<1,<1
2021-03-14,11,6,<1,<1
2021-03-21,12,6,<1,<1
2021-03-28,12,6,<1,<1
2021-04-04,54,6,<1,<1
2021-04-11,11,7,<1,<1
2021-04-18,10,6,1,<1
2021-04-25,10,6,1,<1
2021-05-02,9,5,1,<1
2021-05-09,8,5,1,<1
2021-05-16,8,5,1,<1
2021-05-23,7,4,1,<1
2021-05-30,6,10,1,<1
2021-06-06,6,4,1,<1
2021-06-13,6,4,2,<1
2021-06-20,5,4,2,<1
2021-06-27,5,4,2,<1
2021-07-04,6,4,3,<1
2021-07-11,7,4,4,<1
2021-07-18,8,5,6,<1
2021-07-25,10,7,5,<1
2021-08-01,13,8,5,<1
2021-08-08,13,9,6,<1
2021-08-15,13,9,6,<1
2021-08-22,13,10,6,<1
2021-08-29,12,9,5,<1
2021-09-05,10,12,5,<1
2021-09-12,9,13,5,<1
2021-09-19,8,16,4,<1
2021-09-26,8,17,4,<1
2021-10-03,7,18,3,<1
2021-10-10,6,18,3,<1
2021-10-17,6,16,3,<1
2021-10-24,6,16,3,<1
2021-10-31,6,15,3,<1
2021-11-07,6,14,3,<1
2021-11-14,6,15,3,<1
2021-11-21,6,12,3,<1
2021-11-28,7,14,3,<1
2021-12-05,6,13,3,<1
2021-12-12,7,14,2,<1
2021-12-19,10,18,3,<1
2021-12-26,13,23,3,<1
2022-01-02,15,23,2,<1
2022-01-09,13,16,2,<1
2022-01-16,13,10,1,<1
2022-01-23,7,8,1,<1
2022-01-30,6,7,1,<1
2022-02-06,5,6,1,<1
2022-02-13,5,7,1,<1
2022-02-20,4,7,1,<1
2022-02-27,4,7,1,<1
2022-03-06,4,7,1,<1
2022-03-13,4,8,1,<1
2022-03-20,3,8,1,<1
2022-03-27,3,8,1,<1
2022-04-03,3,9,1,<1
2022-04-10,3,8,1,<1
2022-04-17,3,9,1,<1
2022-04-24,4,9,1,<1
2022-05-01,3,9,1,<1
2022-05-08,4,8,1,<1
2022-05-15,4,8,1,<1
2022-05-22,4,7,1,<1
2022-05-29,4,6,1,<1
2022-06-05,4,6,1,<1
2022-06-12,3,5,1,<1
2022-06-19,3,5,1,<1
2022-06-26,3,4,1,<1
2022-07-03,4,6,1,<1
2022-07-10,4,4,1,<1
2022-07-17,4,4,1,<1
2022-07-24,4,4,1,<1
2022-07-31,3,4,1,<1
2022-08-07,3,4,1,<1
2022-08-14,3,5,1,<1
2022-08-21,3,6,1,<1
2022-08-28,3,7,2,<1
2022-09-04,3,8,2,<1
2022-09-11,3,10,2,<1
2022-09-18,3,12,2,<1
2022-09-25,2,13,3,<1
2022-10-02,2,17,4,<1
2022-10-09,3,19,5,<1
2022-10-16,2,20,10,<1
2022-10-23,2,25,20,<1
2022-10-30,2,26,20,<1
2022-11-06,2,26,19,<1
2022-11-13,2,26,20,<1
2022-11-20,2,29,20,<1
2022-11-27,2,31,15,<1
2022-12-04,2,32,13,<1
