State/Territory,Week_Ending_Date,Data_Collection_Period,State/Territory_WVAL,National_WVAL,Regional_WVAL,WVAL_Category,Coverage
"Alabama","2023-05-06","All Results","1.2030029879922894","1.4429140867532526","1.4638899828088097","Minimal",
"Alabama","2023-01-14","All Results","3.373749763791665","5.637802256152597","4.402944962530057","Low",
"Alabama","2024-11-02","1 Year","2.7919983169437153","1.1792166944931335","1.281095383628248","Low",
"Alabama","2024-06-29","All Results","1.724895726022484","1.410076904525202","1.2109961825311535","Low",
"Alabama","2022-11-19","All Results","20.304326650387235","12.44685682703206","13.949926107633077","Very High",
"Alabama","2023-12-16","All Results","11.729076413559994","7.146030059260481","8.412392231332984","Moderate",
"Alabama","2024-05-04","1 Year","3.372215679984783","2.2379583034537003","1.731640979927091","Low",
"Alabama","2022-12-24","All Results","6.3469214444231845","16.553225539742826","8.646639332481893","Moderate",
"Alabama","2023-08-12","All Results","1.7397724227821674","1.4406050363981533","1.6278622326364836","Low",
"Alabama","2023-05-13","All Results","1.3908439611273151","1.4405740068996233","1.483153957237171","Minimal",
"Alabama","2024-09-21","1 Year","1.2917798787085288","1.1600696319901624","1.278553818341178","Minimal",
"Alabama","2025-01-25","45 Days","30.743691956811798","21.23864263602613","25.33871691129732","Very High",
"Alabama","2022-08-13","All Results","1.367183832731887","1.361119968695806","1.1857371204029483","Minimal","Limited Coverage"
"Alabama","2024-11-09","All Results","3.2438690140745776","1.3359061324068007","1.63058675236541","Low",
"Alabama","2024-01-27","All Results","12.117662950187578","8.379561297081352","8.08573674406994","Moderate",
"Alabama","2024-06-22","All Results","2.6900606617506395","1.343408251033259","1.2614860744715366","Low",
"Alabama","2024-12-07","6 Months","7.714230302181985","2.5146708284314867","2.377884606888185","Moderate",
"Alabama","2022-11-12","All Results","19.973988172562187","8.149861846813547","14.668968049188496","High",
"Alabama","2022-12-03","All Results","16.224330198300706","23.556445957233123","11.065124362465815","High",
"Alabama","2023-09-02","All Results","1.3843902539045596","1.3548775357558596","1.4942801271142372","Minimal",
"Alabama","2024-11-30","6 Months","6.453005417563335","1.7441425333802436","1.5132718063370842","Moderate",
