State/Territory,Week_Ending_Date,Data_Collection_Period,State/Territory_WVAL,National_WVAL,Regional_WVAL,WVAL_Category,Coverage
"Alabama","2024-09-07","1 Year","1.7810019419849088","1.200549473508577","1.4182564326791773","Minimal",
"Alabama","2024-08-10","1 Year","1.43687780534354","1.242919949297956","1.3292555378018416","Minimal",
"Alabama","2025-01-04","All Results","22.348028944804785","10.114488564688504","15.476046795325924","Very High",
"Alabama","2023-04-01","All Results","1.5115295661256476","2.182743344784873","1.366542310826452","Minimal",
"Alabama","2022-11-19","All Results","8.453843241798953","12.278243030850895","10.79668991415424","Moderate",
"Alabama","2024-12-14","All Results","18.11791474793151","5.4126318448278585","10.778935757337308","High",
"Alabama","2023-04-08","All Results","1.5805551993522202","2.0331864437715392","1.580075418368331","Minimal",
"Alabama","2024-12-14","6 Months","18.11791474793151","5.4126318448278585","10.778935757337308","High",
"Alabama","2024-02-03","1 Year","8.387490177389866","6.868853057067891","5.566944152973342","Moderate",
"Alabama","2024-06-22","1 Year","1.462855296616769","1.2143114686462066","1.2676361652140127","Minimal",
"Alabama","2023-02-11","All Results","3.0681432009343874","4.4650090635188295","3.5791454958653115","Minimal",
"Alabama","2024-08-17","1 Year","1.9335493437240572","1.2125270826227872","1.408646294522444","Minimal",
"Alabama","2024-12-07","1 Year","16.059671248504788","4.090956539461703","7.731188380285492","High",
"Alabama","2024-04-06","1 Year","1.4643192072193463","2.135933317118989","1.6108305448563112","Minimal",
"Alabama","2023-03-11","All Results","1.5545254203548984","3.034928147998715","1.7582055053866732","Minimal",
"Alabama","2023-12-23","All Results","20.086654037160272","11.173172302378303","11.438408905173262","Very High",
"Alabama","2024-02-17","All Results","2.681236423332585","5.703167230339917","3.77830978429512","Minimal",
"Alabama","2024-09-28","All Results","1.506819921146983","1.2074778058326354","1.523947352235846","Minimal",
"Alabama","2023-06-03","All Results","1.2428562649799615","1.2857997502584706","1.3609173786464968","Minimal",
"Alabama","2023-12-16","All Results","14.97095312270367","11.753298534020022","12.949652484276884","High",
"Alabama","2024-08-24","6 Months","1.727476265504108","1.2673298696842639","1.3728807368326412","Minimal",
"Alabama","2024-12-28","45 Days","16.018840205289493","6.471747131416667","12.883752053911081","High",
"Alabama","2024-11-02","All Results","3.253555433400202","1.2608820938434817","1.9078565158596776","Minimal",
"Alabama","2023-10-28","All Results","6.945579155670035","2.498974325870483","4.383761416385543","Low",
"Alabama","2023-10-07","All Results","3.7165670183239112","1.8071145795982382","2.68413760330283","Minimal",
"Alabama","2024-11-16","All Results","9.6494246420891","1.9018599717541953","2.608619495131993","Moderate",
"Alabama","2023-03-25","All Results","1.7338905495295518","2.163052158493266","1.768957560509099","Minimal",
"Alabama","2022-10-08","All Results","5.67217173922852","3.7542176650378307","6.799762027555372","Low",
"Alabama","2024-12-21","1 Year","20.313685282015392","6.456566512174676","10.209315976736104","Very High",
"Alabama","2023-04-29","All Results","1.247418477066399","1.3478873677316359","1.2144235989034335","Minimal",
"Alabama","2023-11-04","All Results","10.172559146444582","3.587764253859945","6.229944156790356","Moderate",
"Alabama","2024-03-30","All Results","1.5596662853673418","2.3242541613746592","1.617463094137582","Minimal",
"Alabama","2022-12-03","All Results","6.648286626555499","13.388092935952182","7.985403707751035","Low",
"Alabama","2024-06-01","1 Year","1.3936770499206617","1.2894717665960558","1.2670247483593284","Minimal",
"Alabama","2024-03-16","1 Year","1.8943555473508926","3.146954807263977","2.067293736705804","Minimal",
"Alabama","2023-07-15","All Results","1.2340043344703515","1.4587763746004656","1.4355661577104595","Minimal",
"Alabama","2024-11-23","6 Months","10.894036709343801","2.3428102320469266","3.3039212217942455","Moderate",
"Alabama","2023-10-21","All Results","6.760876116248959","1.9608616073588698","3.3560679239830913","Low",
"Alabama","2022-09-03","All Results","7.319803932829989","1.972766042521786","5.6545008735600675","Low",
"Alabama","2024-09-07","All Results","1.7810019419849088","1.200549473508577","1.4182564326791773","Minimal",
"Alabama","2023-01-28","All Results","2.5689283846737365","5.3885419971416955","3.5420020396976355","Minimal",
"Alabama","2024-10-12","All Results","1.4329620773145944","1.1542211171229773","1.4878255286219986","Minimal",
"Alabama","2022-12-17","All Results","7.352940170589832","11.637285189056854","8.244896221942188","Low",
"Alabama","2024-06-01","All Results","1.3936770499206617","1.2894717665960558","1.2670247483593284","Minimal",
"Alabama","2024-09-14","1 Year","1.5428858645707357","1.1752096114241828","1.3654496159930707","Minimal",
"Alabama","2023-01-14","All Results","6.484698344893256","7.826710773989339","5.120656555291708","Low",
"Alabama","2025-01-11","6 Months","12.524420810579082","9.907209406863393","15.166236818632859","High",
"Alabama","2024-12-21","All Results","20.313685282015392","6.456566512174676","10.209315976736104","Very High",
"Alabama","2025-01-25","6 Months","11.755984182674252","8.405897624569947","9.322907346911457","Moderate",
"Alabama","2022-09-24","All Results","6.210449787710875","3.537481678173073","5.769214391947583","Low",
"Alabama","2023-05-27","All Results","1.3621447098279376","1.379052949432491","1.6112053296401403","Minimal",
"Alabama","2024-04-20","1 Year","1.9697920426348665","1.5652121545677726","1.4119892847636504","Minimal",
"Alabama","2023-09-30","All Results","4.685482504444138","2.0184613831575335","2.7091147093630514","Low",
"Alabama","2024-08-10","6 Months","1.43687780534354","1.242919949297956","1.3292555378018416","Minimal",
"Alabama","2024-09-28","1 Year","1.506819921146983","1.2074778058326354","1.523947352235846","Minimal",
"Alabama","2024-10-05","6 Months","1.457603241543179","1.2359243011851502","1.6664873555357909","Minimal",
"Alabama","2024-08-31","1 Year","1.5484448264873227","1.223386760856302","1.319856418136507","Minimal",
"Alabama","2024-09-21","All Results","1.7115737258832608","1.1277795181213868","1.375059068303195","Minimal",
"Alabama","2024-11-02","1 Year","3.253555433400202","1.2608820938434817","1.9078565158596776","Minimal",
"Alabama","2025-01-04","6 Months","22.348028944804785","10.114488564688504","15.476046795325924","Very High",
"Alabama","2023-03-04","All Results","2.4079863179746437","3.2185159659479385","2.0736482792053472","Minimal",
"Alabama","2023-12-09","All Results","15.180434522568822","11.113319727711545","12.534810276011287","High",
"Alabama","2024-05-04","All Results","1.3944675887153941","1.4616134182268445","1.3005261981458023","Minimal",
"Alabama","2023-11-25","All Results","16.313986809283747","8.356403297506384","11.203370559578989","High",
"Alabama","2024-07-13","All Results","1.2978636269897876","1.250745200098183","1.2792141782811508","Minimal",
"Alabama","2024-07-06","1 Year","1.4558233121043334","1.207804023666502","1.2611836663463192","Minimal",
"Alabama","2023-09-23","All Results","2.052708253090325","1.6379685705049671","1.8940515906528685","Minimal",
"Alabama","2024-07-13","1 Year","1.2978636269897876","1.250745200098183","1.2792141782811508","Minimal",
"Alabama","2022-11-12","All Results","6.2376616292335365","10.830822477006919","8.981469730349584","Low",
"Alabama","2024-02-17","1 Year","2.681236423332585","5.703167230339917","3.77830978429512","Minimal",
"Alabama","2024-10-19","All Results","3.3295101700323158","1.2548092298909328","1.8378506001214572","Minimal",
"Alabama","2024-09-14","All Results","1.5428858645707357","1.1752096114241828","1.3654496159930707","Minimal",
"Alabama","2024-05-18","All Results","1.6798750922852024","1.3958032796591708","1.3269517310507282","Minimal",
"Alabama","2024-09-14","6 Months","1.5428858645707357","1.1752096114241828","1.3654496159930707","Minimal",
"Alabama","2024-10-12","6 Months","1.4329620773145944","1.1542211171229773","1.4878255286219986","Minimal",
"Alabama","2025-01-25","1 Year","11.755984182674252","8.405897624569947","9.322907346911457","Moderate",
