State/Territory,Week_Ending_Date,Data_Collection_Period,State/Territory_WVAL,National_WVAL,Regional_WVAL,WVAL_Category,Coverage
"Alabama","2024-09-07","1 Year","9.164079020713125","8.221262150443065","8.339784394419578","Very High",
"Alabama","2024-08-10","1 Year","8.847549295344445","8.746252428236417","10.81738939900563","Very High",
"Alabama","2025-01-04","All Results","4.797110001910416","5.617555494448327","4.355420695107138","High",
"Alabama","2023-04-01","All Results","3.3015040885281604","3.7148242510261325","3.0562049606236688","Moderate",
"Alabama","2022-11-19","All Results","3.153993728950983","4.963330245709772","2.7313269536801323","Moderate",
"Alabama","2024-12-14","All Results","4.1255962996683015","3.666113845471788","2.7945401568223582","Moderate",
"Alabama","2023-04-08","All Results","2.4064974431733934","3.066411663660286","2.366410449505461","Low",
"Alabama","2024-12-14","6 Months","4.1255962996683015","3.666113845471788","2.7945401568223582","Moderate",
"Alabama","2024-02-03","1 Year","8.464603968485767","7.245675955826005","9.166202140170094","Very High",
"Alabama","2024-06-22","1 Year","3.209204702149465","3.1628683194844744","3.3810042599571464","Moderate",
"Alabama","2023-02-11","All Results","9.420310939316813","6.562451995564604","6.779018678386817","Very High",
"Alabama","2024-08-17","1 Year","12.571229312165192","8.83101206438726","9.875298278944296","Very High",
"Alabama","2024-12-07","1 Year","2.651861730579086","2.916848610484092","2.3415825541993254","Low",
"Alabama","2024-04-06","1 Year","2.7986628742292687","2.243935085835756","2.6708832217956013","Low",
"Alabama","2023-03-11","All Results","2.6630562243420424","4.643610245716043","2.9524345770979714","Low",
"Alabama","2023-12-23","All Results","10.154564723549157","12.552074859585112","9.777228129627012","Very High",
"Alabama","2024-02-17","All Results","8.960230078721674","7.2132062751277095","8.933507184770054","Very High",
"Alabama","2024-09-28","All Results","4.343829057740624","4.218529742997779","3.9692080399649514","Moderate",
"Alabama","2023-06-03","All Results","1.521147637274109","1.3795253218994188","1.4789018388695887","Low",
"Alabama","2023-12-16","All Results","9.405924413648224","10.372413559842052","7.654516473625768","Very High",
"Alabama","2024-08-24","6 Months","13.9178101845737","9.03647682487632","10.41052610023403","Very High",
"Alabama","2024-12-28","45 Days","5.670970011662714","4.982745041439521","3.795081264934601","High",
"Alabama","2024-11-02","All Results","1.7909520387779942","2.0401554346884945","1.7970958848754228","Low",
"Alabama","2023-10-28","All Results","2.750470923148889","4.381076314711885","3.309985936121538","Low",
"Alabama","2023-10-07","All Results","3.688747440556007","4.712052021681625","3.472449502543597","Moderate",
"Alabama","2024-11-16","All Results","1.5474215557716278","1.779340257555934","1.3118408428604817","Low",
"Alabama","2023-03-25","All Results","3.666306863811938","4.6867272235061685","3.6884726217860795","Moderate",
"Alabama","2022-10-08","All Results","1.5727002434783413","3.7220181964983223","2.1658233636477995","Low",
"Alabama","2024-12-21","1 Year","2.7328602859155104","4.221814322437602","3.3755894473326653","Low",
"Alabama","2023-04-29","All Results","1.5587651416313248","2.0045458506877614","1.6951330709619064","Low",
"Alabama","2023-11-04","All Results","3.757450316492737","4.813581043592999","3.41483898726673","Moderate",
"Alabama","2024-03-30","All Results","2.811335996238218","2.534777416871998","2.811335996238218","Low",
"Alabama","2022-12-03","All Results","5.243417431024306","9.17217747419739","6.784881650943349","High",
"Alabama","2024-06-01","1 Year","1.1192331793181527","2.0607559189605826","1.9128398893685055","Minimal",
"Alabama","2024-03-16","1 Year","5.201114694011636","3.161934252414194","4.027756395662658","High",
"Alabama","2023-07-15","All Results","1.9813952161950537","1.9838512281338008","2.107780181786061","Low",
"Alabama","2024-11-23","6 Months","1.8638241491810876","1.9551341892926186","1.6977826690855466","Low",
"Alabama","2023-10-21","All Results","3.7311126964550367","4.297563137221412","3.3445904664613053","Moderate",
"Alabama","2022-09-03","All Results","7.253215818242234","6.076573064919351","6.433250066351478","High",
"Alabama","2024-09-07","All Results","9.164079020713125","8.221262150443065","8.339784394419578","Very High",
"Alabama","2023-01-28","All Results","7.387694034410547","6.193220651010433","6.693141431043384","High",
"Alabama","2024-10-12","All Results","2.02282294740078","2.4636968932143013","2.1687522327384365","Low",
"Alabama","2022-12-17","All Results","8.583311619621105","9.496322111671303","7.766029241193431","Very High",
