"Dataset","Disease","Region","Region Type","Season","Week Observed","Characteristic","Level","WVAL Category","National WVAL","State WVAL","Regional WVAL","Coverage"
"NWSS","Influenza A","Alabama","State","2022-23",2022-08-13,"Not Stratified","N/A","Minimal",1.36,1.37,1.19,"Limited Coverage"
"NWSS","Influenza A","Alabama","State","2022-23",2022-08-20,"Not Stratified","N/A","Minimal",1.17,1.18,1.21,NA
"NWSS","Influenza A","Alabama","State","2022-23",2022-08-27,"Not Stratified","N/A","Minimal",1.52,1.08,1.36,NA
"NWSS","Influenza A","Alabama","State","2022-23",2022-09-03,"Not Stratified","N/A","Minimal",1.15,1.2,1.2,NA
"NWSS","Influenza A","Alabama","State","2022-23",2022-09-10,"Not Stratified","N/A","Minimal",1.36,1.39,1.58,NA
"NWSS","Influenza A","Alabama","State","2022-23",2022-09-17,"Not Stratified","N/A","Low",1.33,2.28,1.33,NA
"NWSS","Influenza A","Alabama","State","2022-23",2022-09-24,"Not Stratified","N/A","Low",1.62,1.87,1.62,NA
"NWSS","Influenza A","Alabama","State","2022-23",2022-10-01,"Not Stratified","N/A","Low",1.6,3.51,2.5,NA
"NWSS","Influenza A","Alabama","State","2022-23",2022-10-08,"Not Stratified","N/A","Moderate",1.32,5.44,3.44,NA
"NWSS","Influenza A","Alabama","State","2022-23",2022-10-15,"Not Stratified","N/A","Moderate",1.57,7.22,6.33,NA
"NWSS","Influenza A","Alabama","State","2022-23",2022-10-22,"Not Stratified","N/A","Moderate",1.6,10.05,10.05,NA
"NWSS","Influenza A","Alabama","State","2022-23",2022-10-29,"Not Stratified","N/A","High",3.63,17.77,15.35,NA
"NWSS","Influenza A","Alabama","State","2022-23",2022-11-05,"Not Stratified","N/A","Very High",5.18,21.36,15.09,NA
"NWSS","Influenza A","Alabama","State","2022-23",2022-11-12,"Not Stratified","N/A","High",8.15,19.97,14.67,NA
"NWSS","Influenza A","Alabama","State","2022-23",2022-11-19,"Not Stratified","N/A","Very High",12.45,20.3,13.95,NA
"NWSS","Influenza A","Alabama","State","2022-23",2022-11-26,"Not Stratified","N/A","High",15.55,17.68,14.84,NA
"NWSS","Influenza A","Alabama","State","2022-23",2022-12-03,"Not Stratified","N/A","High",23.56,16.22,11.07,NA
"NWSS","Influenza A","Alabama","State","2022-23",2022-12-10,"Not Stratified","N/A","Moderate",19.27,11.23,10.74,NA
"NWSS","Influenza A","Alabama","State","2022-23",2022-12-17,"Not Stratified","N/A","Moderate",18.84,7.58,8.42,NA
"NWSS","Influenza A","Alabama","State","2022-23",2022-12-24,"Not Stratified","N/A","Moderate",16.55,6.35,8.65,NA
