"","Dataset","State","Year","Quarter","Setting","Drug","Characteristic","Level","Rate","Count"
"1","AHRQ","Alaska",2016,"Q1","ED Treat-and-Release","All Opioids","Total","All ED Visits",NA,NA
"2","AHRQ","Alaska",2016,"Q2","ED Treat-and-Release","All Opioids","Total","All ED Visits",NA,NA
"3","AHRQ","Alaska",2016,"Q3","ED Treat-and-Release","All Opioids","Total","All ED Visits",NA,NA
"4","AHRQ","Alaska",2016,"Q4","ED Treat-and-Release","All Opioids","Total","All ED Visits",NA,NA
"5","AHRQ","Alaska",2017,"Q1","ED Treat-and-Release","All Opioids","Total","All ED Visits",NA,NA
"6","AHRQ","Alaska",2017,"Q2","ED Treat-and-Release","All Opioids","Total","All ED Visits",NA,NA
"7","AHRQ","Alaska",2017,"Q3","ED Treat-and-Release","All Opioids","Total","All ED Visits",NA,NA
"8","AHRQ","Alaska",2017,"Q4","ED Treat-and-Release","All Opioids","Total","All ED Visits",NA,NA
"9","AHRQ","Alaska",2018,"Q1","ED Treat-and-Release","All Opioids","Total","All ED Visits",NA,NA
"10","AHRQ","Alaska",2018,"Q2","ED Treat-and-Release","All Opioids","Total","All ED Visits",NA,NA
"11","AHRQ","Alaska",2018,"Q3","ED Treat-and-Release","All Opioids","Total","All ED Visits",NA,NA
"12","AHRQ","Alaska",2018,"Q4","ED Treat-and-Release","All Opioids","Total","All ED Visits",NA,NA
"13","AHRQ","Alaska",2019,"Q1","ED Treat-and-Release","All Opioids","Total","All ED Visits",309.99635318238,550
"14","AHRQ","Alaska",2019,"Q2","ED Treat-and-Release","All Opioids","Total","All ED Visits",297.16229247476,550
"15","AHRQ","Alaska",2019,"Q3","ED Treat-and-Release","All Opioids","Total","All ED Visits",304.57323347205,550
"16","AHRQ","Alaska",2019,"Q4","ED Treat-and-Release","All Opioids","Total","All ED Visits",315.927127566287,600
"17","AHRQ","Alaska",2020,"Q1","ED Treat-and-Release","All Opioids","Total","All ED Visits",313.823204224439,600
"18","AHRQ","Alaska",2020,"Q2","ED Treat-and-Release","All Opioids","Total","All ED Visits",265.950632673073,500
"19","AHRQ","Alaska",2020,"Q3","ED Treat-and-Release","All Opioids","Total","All ED Visits",322.179071633469,600
"20","AHRQ","Alaska",2020,"Q4","ED Treat-and-Release","All Opioids","Total","All ED Visits",264.919449946956,500
